submit_date,model_type,post_install_window,target_game_id,start_count,avg_cost,avg_max_cost,avg_actual_max_cst
2026-07-12,adrev-depositor,d7,125424,5,2.1776318400000002E7,0.0,1.00139008E8
2026-07-12,,d7,125424,395588,1.6257552278221289E7,5946274.912282481,1.003869249883821E8
2026-07-12,dep,d7,125424,83219,1.658180676492148E7,6014912.45989498,1.0057477802367233E8
2026-07-13,dep,d7,125424,83469,1.688247728833455E7,5034623.6327259,1.0098708163730249E8
2026-07-13,,d7,125424,414509,1.6457554132284205E7,4884429.529877504,1.0080280464792797E8
2026-07-13,dep,d28,125424,612,3.852129820915035E7,0.0,1.0E8
2026-07-13,,d28,125424,28196,3.835301652911769E7,0.0,1.0E8
2026-07-14,dep,d28,125424,609,3.852527411494251E7,0.0,1.0E8
2026-07-14,,d28,125424,29574,3.9347207650537714E7,0.0,1.0E8
2026-07-14,dep,d7,125424,107644,1.6887423987105608E7,6369932.369662974,1.018155488512505E8
2026-07-14,,d7,125424,537853,1.6547614267307246E7,6319533.404108566,1.0174609650312647E8
2026-07-15,dep,d7,125424,105499,1.4308997698148826E7,7301396.221765128,1.0249759148336942E8
2026-07-15,,d28,125424,22473,3.977352050362666E7,0.0,1.0E8
2026-07-15,dep,d28,125424,456,3.801062123026315E7,0.0,1.0E8
2026-07-15,,d7,125424,476219,1.3840819051952982E7,6885645.049861531,1.0226006509818389E8
2026-07-16,,d7,125424,441321,1.57290636313749E7,6655506.989243657,1.0203532718586233E8
2026-07-16,dep,d7,125424,101580,1.624415038385505E7,6964363.063595201,1.0219417579838537E8
2026-07-16,dep,d28,125424,250,4.495863739599999E7,0.0,1.0E8
2026-07-16,,d28,125424,11195,4.58939189463153E7,0.0,1.0E8
2026-07-17,dep,d28,125424,1490,3.087372082684568E7,0.0,1.0002957418523495E8
2026-07-17,dep,d7,125424,124862,1.6844782596714824E7,5316629.559033167,1.0165553010318598E8
2026-07-17,,d7,125424,529271,1.6272169744542954E7,5325561.007498994,1.0160267843538763E8
2026-07-17,,d28,125424,58936,3.0718389950607393E7,0.0,1.0000250486113736E8
2026-07-18,,d28,125424,138314,3.621812837910115E7,0.0,1.0000148943603681E8
2026-07-18,,d7,125424,625190,1.6549407555247195E7,7778187.431020977,1.0305511952976857E8
2026-07-18,dep,d7,125424,150357,1.7131223960394267E7,7885199.890926267,1.0314817989249587E8
2026-07-18,dep,d28,125424,3286,3.657539919811319E7,0.0,1.0002009397443713E8
2026-07-19,dep,d7,125424,189680,1.7835880800411206E7,6696857.865879371,1.0169024456718706E8
2026-07-19,,d28,125424,136558,3.598599792089075E7,0.0,1.0000231174422576E8
2026-07-19,,d7,125424,782369,1.7086112749445662E7,6570780.539617502,1.0157695756522036E8
2026-07-19,dep,d28,125424,3343,3.6743875040682E7,0.0,1.0002573914208795E8
2026-07-20,,d7,125424,716520,2.1100053958756197E7,1.487887986378609E7,1.0617587659751034E8
2026-07-20,dep,d7,125424,179417,2.1582073379724402E7,1.5332967333084363E7,1.0650862562544237E8
2026-07-20,,d28,125424,133751,3.571113143401549E7,0.0,1.0000196636388507E8
2026-07-20,dep,d28,125424,3320,3.662684394186754E7,0.0,1.0002357274216853E8
2026-07-21,dep,d28,125424,4146,3.860114721587066E7,0.0,1.00048884144718E8
2026-07-21,,d28,125424,133912,4.037831521251274E7,0.0,1.0000506674568413E8
2026-07-21,dep,d7,125424,212403,1.9237183278974324E7,1.38548655150822E7,1.0611123444546467E8
